,Team,W,D,L,GF,GA,GD,P
1,Man United,0,0,0,0,0,0,0
4,Chelsea,0,0,0,0,0,0,0
0,Arsenal,0,0,0,0,0,0,0
3,Liverpool,0,0,0,0,0,0,0
2,Man City,0,0,0,0,0,0,0
5,Tottenham,0,0,0,0,0,0,0
14,Everton,0,0,0,0,0,0,0
12,Southampton,0,0,0,0,0,0,0
16,Newcastle,0,0,0,0,0,0,0
11,Leicester,0,0,0,0,0,0,0
18,Fulham,0,0,0,0,0,0,0
19,West Ham,0,0,0,0,0,0,0
9,Crystal Palace,0,0,0,0,0,0,0
17,Bournemouth,0,0,0,0,0,0,0
8,Burnley,0,0,0,0,0,0,0
10,Watford,0,0,0,0,0,0,0
15,Brighton,0,0,0,0,0,0,0
7,Wolves,0,0,0,0,0,0,0
6,Cardiff,0,0,0,0,0,0,0
13,Huddersfield,0,0,0,0,0,0,0
